service_id,date,exception_type
1912WR-D2-Sunday-69,20191225,1
1912WR-D2-Sunday-69-1,20191224,1
1912WR-D2-Sunday-69,20200101,1
1912WR-D2-Sunday-69-1,20191231,1
1912WR-D2-Sunday-69,20200120,1
1912WR-D2-Sunday-69-1,20200119,1
1912WR-D2-Sunday-69,20200217,1
1912WR-D2-Sunday-69-1,20200216,1
1912WR-D2-Weekday-69,20191225,2
1912WR-D2-Weekday-69-SDon,20191225,2
1912WR-D2-Weekday-69-SDOKon-0010000,20191225,2
1912WR-D2-Weekday-69-SDOKon-1101100,20191225,2
1912WR-D2-Weekday-69-SDOKon,20191225,2
1912WR-D2-Weekday-69-SDon-0000100,20191225,2
1912WR-D2-Weekday-69,20200101,2
1912WR-D2-Weekday-69-SDon,20200101,2
1912WR-D2-Weekday-69-SDOKon-0010000,20200101,2
1912WR-D2-Weekday-69-SDOKon-1101100,20200101,2
1912WR-D2-Weekday-69-SDOKon,20200101,2
1912WR-D2-Weekday-69-SDon-0000100,20200101,2
1912WR-D2-Weekday-69,20200120,2
1912WR-D2-Weekday-69-SDon,20200120,2
1912WR-D2-Weekday-69-SDOKon-0010000,20200120,2
1912WR-D2-Weekday-69-SDOKon-1101100,20200120,2
1912WR-D2-Weekday-69-SDOKon,20200120,2
1912WR-D2-Weekday-69-SDon-0000100,20200120,2
1912WR-D2-Weekday-69,20200217,2
1912WR-D2-Weekday-69-SDon,20200217,2
1912WR-D2-Weekday-69-SDOKon-0010000,20200217,2
1912WR-D2-Weekday-69-SDOKon-1101100,20200217,2
1912WR-D2-Weekday-69-SDOKon,20200217,2
1912WR-D2-Weekday-69-SDon-0000100,20200217,2
1912WR-D2-Weekday-69-SDon,20191223,2
1912WR-D2-Weekday-69-SDon-0000100,20191223,2
1912WR-D2-Weekday-69-SDOKon-0010000,20191223,2
1912WR-D2-Weekday-69-SDOKon-1101100,20191223,2
1912WR-D2-Weekday-69-SDOKon,20191223,2
1912WR-D2-Weekday-69-SDon,20191224,2
1912WR-D2-Weekday-69-SDon-0000100,20191224,2
1912WR-D2-Weekday-69-SDOKon-0010000,20191224,2
1912WR-D2-Weekday-69-SDOKon-1101100,20191224,2
1912WR-D2-Weekday-69-SDOKon,20191224,2
1912WR-D2-Weekday-69-SDon,20191226,2
1912WR-D2-Weekday-69-SDon-0000100,20191226,2
1912WR-D2-Weekday-69-SDOKon-0010000,20191226,2
1912WR-D2-Weekday-69-SDOKon-1101100,20191226,2
1912WR-D2-Weekday-69-SDOKon,20191226,2
1912WR-D2-Weekday-69-SDon,20191227,2
1912WR-D2-Weekday-69-SDon-0000100,20191227,2
