service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1912WR-D3-Saturday-69,0,0,0,0,0,1,0,20191221,20200328
1912WR-D3WACKY-Weekday-69,1,1,1,1,1,0,0,20191216,20200327
1912WR-D3WACKY-Weekday-69-ECRTon,1,1,1,1,1,0,0,20191216,20200327
1912WR-D3WACKY-Weekday-69-KOREon,1,1,1,1,1,0,0,20191216,20200327
1912WR-D3WACKY-Weekday-69-DEJNon,1,1,1,1,1,0,0,20191216,20200327
1912WR-D3WACKY-Weekday-69-DANZon,1,1,1,1,1,0,0,20191216,20200327
1912WR-D3WACKY-Weekday-69-CRSPon,1,1,1,1,1,0,0,20191216,20200327
1912WR-D3WACKY-Weekday-69-KNDYon,1,1,1,1,1,0,0,20191216,20200327
1912WR-D3WACKY-Weekday-69-HELMon,1,1,1,1,1,0,0,20191216,20200327
1912WR-D4-Sunday-70,0,0,0,0,0,0,1,20191215,20200322
1912WR-D4-Sunday-70-1,0,0,0,0,0,1,0,20191214,20200321
1912WR-D4-Weekday-70,1,1,1,1,1,0,0,20191216,20200327
1912WR-D4-Weekday-70-1,1,1,1,1,0,0,1,20191215,20200326
1912WR-D4-Weekday-70-SDOKon-1101100,1,1,0,1,1,0,0,20191216,20200327
1912WR-D4-Weekday-70-SDOKon-0010000,0,0,1,0,0,0,0,20191216,20200327
1912WR-D4-Weekday-70--1010100,1,0,1,0,1,0,0,20191216,20200327
1912WR-D4-Weekday-70--0101000,0,1,0,1,0,0,0,20191216,20200327
1912WR-D4-Weekday-70-SDALon-0000100,0,0,0,0,1,0,0,20191216,20200327
1912WR-D4-Weekday-70-SDALon-0010000,0,0,1,0,0,0,0,20191216,20200327
1912WR-D4-Weekday-70-SDALon-1101100,1,1,0,1,1,0,0,20191216,20200327
1912WR-D4-Weekday-70-SDon-0010000,0,0,1,0,0,0,0,20191216,20200327
1912WR-D4-Weekday-70-SDOKon,1,1,1,1,1,0,0,20191216,20200327
1912WR-D4-Weekday-70-SDon,1,1,1,1,1,0,0,20191216,20200327
1912WR-D4-Weekday-70-SDALon,1,1,1,1,1,0,0,20191216,20200327
1912WR-D4-Saturday-70,0,0,0,0,0,1,0,20191221,20200328
1912WR-D4-Saturday-70-1,0,0,0,0,1,0,0,20191220,20200327
1912WR-D4WACKY-Weekday-69,1,1,1,1,1,0,0,20191216,20200327
1912WR-D4WACKY-Weekday-69-MONTon,1,1,1,1,1,0,0,20191216,20200327
1912WR-D4WACKY-Weekday-69-OAKTon,1,1,1,1,1,0,0,20191216,20200327
1912WR-D4WACKY-Weekday-69-SKYLon,1,1,1,1,1,0,0,20191216,20200327
1912WR-D4WACKY-Weekday-69-ALAHon,1,1,1,1,1,0,0,20191216,20200327
1912WR-D4WACKY-Weekday-69-ECINon,1,1,1,1,1,0,0,20191216,20200327
1912WR-D4WACKY-Weekday-69-BISHon,1,1,1,1,1,0,0,20191216,20200327
1912WR-D6-Sunday-30,0,0,0,0,0,0,1,20191215,20200322
1912WR-D6-Sunday-30-1,0,0,0,0,0,1,0,20191214,20200321
1912WR-D6-Weekday-33,1,1,1,1,1,0,0,20191216,20200327
1912WR-D6-Weekday-33-1,1,1,1,1,0,0,1,20191215,20200326
1912WR-D6-Weekday-33-SDFRon-1011100,1,0,1,1,1,0,0,20191216,20200327
1912WR-D6-Weekday-33-SDFRon-0100000,0,1,0,0,0,0,0,20191216,20200327
1912WR-D6-Weekday-33-SDNWon-1111000,1,1,1,1,0,0,0,20191216,20200327
1912WR-D6-Weekday-33-SDNWon-0000100,0,0,0,0,1,0,0,20191216,20200327
1912WR-D6-Weekday-33-SDFRon-0010000,0,0,1,0,0,0,0,20191216,20200327
1912WR-D6-Weekday-33-SDHYon-0010000,0,0,1,0,0,0,0,20191216,20200327
1912WR-D6-Weekday-33-SDHYon-1101100,1,1,0,1,1,0,0,20191216,20200327
1912WR-D6-Weekday-33-SDFRon-1101100,1,1,0,1,1,0,0,20191216,20200327
1912WR-D6-Weekday-33-SDNWon-0001000,0,0,0,1,0,0,0,20191216,20200327
1912WR-D6-Weekday-33-SDNWon-1110100,1,1,1,0,1,0,0,20191216,20200327
1912WR-D6-Weekday-33-SDHYon-0011000,0,0,1,1,0,0,0,20191216,20200327
1912WR-D6-Weekday-33-SDHYon-1100100,1,1,0,0,1,0,0,20191216,20200327
1912WR-D6-Weekday-33-SDFRon,1,1,1,1,1,0,0,20191216,20200327
1912WR-D6-Weekday-33-SDNWon,1,1,1,1,1,0,0,20191216,20200327
1912WR-D6-Saturday-30,0,0,0,0,0,1,0,20191221,20200328
1912WR-D6-Saturday-30-1,0,0,0,0,1,0,0,20191220,20200327
1912WR-D6WACKY-Weekday-01,1,1,1,1,1,0,0,20191216,20200327
1912WR-D6WACKY-Weekday-01-THRTon,1,1,1,1,1,0,0,20191216,20200327
1912WR-D6WACKY-Weekday-01-AMERon,1,1,1,1,1,0,0,20191216,20200327
1912WR-D6WACKY-Weekday-01-WASHon,1,1,1,1,1,0,0,20191216,20200327
1912WR-D6WACKY-Weekday-01-MISSon,1,1,1,1,1,0,0,20191216,20200327
1912WR-D6WACKY-Weekday-01-HOPKon,1,1,1,1,1,0,0,20191216,20200327
1912WR-D6WACKY-Weekday-01-HORNon,1,1,1,1,1,0,0,20191216,20200327
1912WR-D6WACKY-Weekday-01-NEWJon,1,1,1,1,1,0,0,20191216,20200327
