service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1912WR-D2-Sunday-69,0,0,0,0,0,0,1,20191215,20200322
1912WR-D2-Sunday-69-1,0,0,0,0,0,1,0,20191214,20200321
1912WR-D2-Weekday-69,1,1,1,1,1,0,0,20191216,20200327
1912WR-D2-Weekday-69-SDOKon-0010000,0,0,1,0,0,0,0,20191216,20200327
1912WR-D2-Weekday-69-SDOKon-1101100,1,1,0,1,1,0,0,20191216,20200327
1912WR-D2-Weekday-69-SDon-0000100,0,0,0,0,1,0,0,20191216,20200327
1912WR-D2-Weekday-69-SDon,1,1,1,1,1,0,0,20191216,20200327
1912WR-D2-Weekday-69-SDOKon,1,1,1,1,1,0,0,20191216,20200327
1912WR-D2-Saturday-69,0,0,0,0,0,1,0,20191221,20200328
1912WR-D2-Saturday-69-1,0,0,0,0,1,0,0,20191220,20200327
1912WR-D2WACKY-Weekday-69,1,1,1,1,1,0,0,20191216,20200327
1912WR-D2WACKY-Weekday-69-BISHon,1,1,1,1,1,0,0,20191216,20200327
1912WR-D2WACKY-Weekday-69-OAKLon,1,1,1,1,1,0,0,20191216,20200327
1912WR-D2WACKY-Weekday-69-OAKTon,1,1,1,1,1,0,0,20191216,20200327
1912WR-D2WACKY-Weekday-69-BHOKon,1,1,1,1,1,0,0,20191216,20200327
1912WR-D2WACKY-Weekday-69-SKYLon,1,1,1,1,1,0,0,20191216,20200327
1912WR-D2WACKY-Weekday-69-HEBRon,1,1,1,1,1,0,0,20191216,20200327
1912WR-D3-Sunday-69,0,0,0,0,0,0,1,20191215,20200322
1912WR-D3-Weekday-69,1,1,1,1,1,0,0,20191216,20200327
1912WR-D3-Weekday-69-SDWCon-0010000,0,0,1,0,0,0,0,20191216,20200327
1912WR-D3-Weekday-69-SDWCon-1101100,1,1,0,1,1,0,0,20191216,20200327
1912WR-D3-Weekday-69-SDWCon,1,1,1,1,1,0,0,20191216,20200327
