stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
2,52246,"8th St:Portola Av",,  37.7688136,-122.2729918,,,0,
3,57793,"8th St:Portola Av",,  37.7689929,-122.2727976,,,0,
5584,56707,"1105 Atlantic Av",,  37.7802724,-122.2640149,,,0,
5585,57796,"Atlantic Av:Challenger Dr",,  37.7810663,-122.2700596,,,0,
5586,54332,"Atlantic Av:Triumph Dr",,  37.7807990,-122.2661250,,,0,
5587,56717,"Atlantic Av:Triumph Dr",,  37.7806045,-122.2655398,,,0,
7,56711,"Aughinbaugh Way:Kofman Pkwy",,  37.7417132,-122.2501248,,,0,
8,55876,"Aughinbaugh Way:Mecartney Rd",,  37.7387449,-122.2521401,,,0,
9,55852,"Aughinbaugh Way:Mecartney Rd",,  37.7384631,-122.2519600,,,0,
10,52110,"Aughinbaugh Way:Robert Davey Jr Dr",,  37.7424852,-122.2501082,,,0,
11,55487,"Aughinbaugh Way:Robert Davey Jr Dr",,  37.7428892,-122.2499625,,,0,
12,56504,"Aughinbaugh Way:The Lagoon",,  37.7409359,-122.2510362,,,0,
13,52420,"Aughinbaugh Way:The Lagoon",,  37.7405185,-122.2511912,,,0,
14,55987,"Blanding Av:Broadway",,  37.7685807,-122.2337700,,,0,place_BDBL
15,56668,"Blanding Av:Broadway",,  37.7687412,-122.2337312,,,0,place_BDBL
16,52249,"Broadway:Santa Clara Av",,  37.7637310,-122.2380619,,,0,
17,51545,"Broadway:Tilden Way",,  37.7674598,-122.2351626,,,0,
5588,52545,"Buena Vista Av:Chestnut St",,  37.7727954,-122.2501047,,,0,
5589,51770,"Buena Vista Av:Chestnut St",,  37.7724473,-122.2496405,,,0,
5591,51525,"Buena Vista Av:Sherman St",,  37.7767549,-122.2628258,,,0,
5592,59771,"Buena Vista Av:Walnut St",,  37.7699720,-122.2439454,,,0,
5593,56722,"Buena Vista Av:Walnut St",,  37.7703221,-122.2444160,,,0,
5629,58993,"Buena Vista Av:Willow St",,  37.7713737,-122.2471736,,,0,
18,54233,"Central Av:8th St",,  37.7714301,-122.2732542,,,0,
19,54330,"Central Av:8th St",,  37.7712326,-122.2732483,,,0,
20,58331,"Central Av:Bay St",,  37.7711992,-122.2649515,,,0,
21,57978,"Central Av:Bay St",,  37.7710470,-122.2648877,,,0,
22,59430,"Central Av:Weber St",,  37.7711515,-122.2692090,,,0,
23,59865,"Central Av:Weber St",,  37.7713304,-122.2691816,,,0,
24,53365,"Central Av:Webster St",,  37.7713531,-122.2763974,,,0,
25,58996,"Challenger Dr:Atlantic Av",,  37.7814638,-122.2707894,,,0,
26,59123,"Encinal Av:Alameda High School",,  37.7637599,-122.2468570,,,0,
27,56758,"Encinal Av:Benton St",,  37.7702591,-122.2617267,,,0,
28,53040,"Encinal Av:Chestnut St",,  37.7668146,-122.2537862,,,0,
29,52664,"Encinal Av:Chestnut St",,  37.7667447,-122.2541440,,,0,
30,56340,"Encinal Av:Fountain St",,  37.7566958,-122.2347166,,,0,
31,52994,"Encinal Av:Grand St",,  37.7687916,-122.2583872,,,0,
32,51213,"Encinal Av:Grand St",,  37.7686086,-122.2583664,,,0,
33,56589,"Encinal Av:High St",,  37.7562837,-122.2343955,,,0,
34,56810,"Encinal Av:Mound St",,  37.7579110,-122.2367080,,,0,
35,56733,"Encinal Av:Mound St",,  37.7577388,-122.2361824,,,0,
36,53531,"Encinal Av:Park Av",,  37.7617331,-122.2426842,,,0,
37,51144,"Encinal Av:Park Av W",,  37.7618810,-122.2432080,,,0,
38,54130,"Encinal Av:Paru St",,  37.7693499,-122.2600371,,,0,
39,59334,"Encinal Av:Versailles Av",,  37.7592360,-122.2386760,,,0,
40,56787,"Encinal Av:Walnut St (Alameda High School)",,  37.7640850,-122.2479430,,,0,
41,53004,"Fernside Blvd:Harvard Dr",,  37.7652491,-122.2290664,,,0,
