line_ref,recorded_time,valid_until_time,direction_ref,data_frame_ref,journey_ref,line_name,operator_ref,monitored,vehicle_lat,vehicle_lon,vehicle_ref,stop_point_ref,visit_num,stop_point_name,expected_arrival_time,expected_departure_time
12,2018-11-09 01:30:18,2018-11-09 01:30:00,Inbound,2018-11-08 00:00:00,8332563,FOLSOM-PACIFIC,SF,True,-122.400871,37.791901,8135,16333,1,Sansome St & Sacramento St,2018-11-09 01:31:00,2018-11-09 01:31:00
12,2018-11-09 01:30:18,2018-11-09 01:30:00,Inbound,2018-11-08 00:00:00,8332557,FOLSOM-PACIFIC,SF,True,-122.411949,37.771088,8711,14665,1,Folsom St & 11th St,2018-11-09 01:31:00,2018-11-09 01:31:00
12,2018-11-09 01:30:18,2018-11-09 01:30:00,Inbound,2018-11-08 00:00:00,8332561,FOLSOM-PACIFIC,SF,True,-122.415276,37.765488,8724,14664,1,Folsom St & 11th St,2018-11-09 01:32:00,2018-11-09 01:32:00
12,2018-11-09 01:30:18,2018-11-09 01:30:00,Inbound,2018-11-08 00:00:00,8332560,FOLSOM-PACIFIC,SF,True,-122.419868,37.752167,8731,16879,1,Valencia St & 25th St,2018-11-09 01:31:00,2018-11-09 01:31:00
12,2018-11-09 01:30:18,2018-11-09 01:30:00,Inbound,2018-11-08 00:00:00,8332559,FOLSOM-PACIFIC,SF,True,-122.416435,37.74826,8733,16881,1,Valencia St & Cesar Chavez St,2018-11-09 01:31:00,2018-11-09 01:31:00
12,2018-11-09 01:30:18,2018-11-09 01:30:00,Inbound,2018-11-08 00:00:00,8332564,FOLSOM-PACIFIC,SF,True,-122.400993,37.797966,8768,15842,1,Pacific Ave & Kearny St,2018-11-09 01:31:00,2018-11-09 01:31:00
12,2018-11-09 01:30:18,2018-11-09 01:30:00,Inbound,2018-11-08 00:00:00,8332558,FOLSOM-PACIFIC,SF,True,-122.414253,37.753716,8774,13931,1,Cesar Chavez St & Folsom St,2018-11-09 01:32:00,2018-11-09 01:32:00
12,2018-11-09 01:30:18,2018-11-09 01:30:00,Outbound,2018-11-08 00:00:00,8332499,FOLSOM-PACIFIC,SF,True,-122.412964,37.796135,8912,15853,1,Pacific Ave & Powell St,2018-11-09 01:31:00,2018-11-09 01:31:00
12,2018-11-09 01:31:20,2018-11-09 01:31:00,Inbound,2018-11-08 00:00:00,8332563,FOLSOM-PACIFIC,SF,True,-122.400848,37.792557,8135,16337,1,Sansome St & Washington St,2018-11-09 01:33:00,2018-11-09 01:33:00
12,2018-11-09 01:31:20,2018-11-09 01:31:00,Inbound,2018-11-08 00:00:00,8332557,FOLSOM-PACIFIC,SF,True,-122.412773,37.770893,8711,14666,1,Folsom St & 14th St,2018-11-09 01:33:00,2018-11-09 01:33:00
12,2018-11-09 01:31:20,2018-11-09 01:31:00,Inbound,2018-11-08 00:00:00,8332561,FOLSOM-PACIFIC,SF,True,-122.415474,37.767078,8724,14664,1,Folsom St & 11th St,2018-11-09 01:32:00,2018-11-09 01:32:00
12,2018-11-09 01:31:20,2018-11-09 01:31:00,Inbound,2018-11-08 00:00:00,8332560,FOLSOM-PACIFIC,SF,True,-122.419868,37.752167,8731,17592,1,Cesar Chavez St. & Valencia St.,2018-11-09 01:32:00,2018-11-09 01:32:00
12,2018-11-09 01:31:20,2018-11-09 01:31:00,Inbound,2018-11-08 00:00:00,8332559,FOLSOM-PACIFIC,SF,True,-122.418686,37.748226,8733,16878,1,Valencia St & 25th St,2018-11-09 01:32:00,2018-11-09 01:32:00
12,2018-11-09 01:31:20,2018-11-09 01:31:00,Inbound,2018-11-08 00:00:00,8332564,FOLSOM-PACIFIC,SF,True,-122.402176,37.798199,8768,15842,1,Pacific Ave & Kearny St,2018-11-09 01:32:00,2018-11-09 01:32:00
12,2018-11-09 01:31:20,2018-11-09 01:31:00,Inbound,2018-11-08 00:00:00,8332558,FOLSOM-PACIFIC,SF,True,-122.414146,37.752449,8774,13931,1,Cesar Chavez St & Folsom St,2018-11-09 01:33:00,2018-11-09 01:33:00
12,2018-11-09 01:31:20,2018-11-09 01:31:00,Outbound,2018-11-08 00:00:00,8332499,FOLSOM-PACIFIC,SF,True,-122.41114,37.79636,8912,13087,1,Broadway & Stockton St,2018-11-09 01:33:00,2018-11-09 01:33:00
12,2018-11-09 01:32:09,2018-11-09 01:32:00,Inbound,2018-11-08 00:00:00,8332563,FOLSOM-PACIFIC,SF,True,-122.401024,37.793362,8135,16337,1,Sansome St & Washington St,2018-11-09 01:33:00,2018-11-09 01:33:00
12,2018-11-09 01:32:09,2018-11-09 01:32:00,Inbound,2018-11-08 00:00:00,8332557,FOLSOM-PACIFIC,SF,True,-122.413872,37.771717,8711,14666,1,Folsom St & 14th St,2018-11-09 01:33:00,2018-11-09 01:33:00
12,2018-11-09 01:32:09,2018-11-09 01:32:00,Inbound,2018-11-08 00:00:00,8332561,FOLSOM-PACIFIC,SF,True,-122.415565,37.768394,8724,14664,1,Folsom St & 11th St,2018-11-09 01:33:00,2018-11-09 01:33:00
12,2018-11-09 01:32:09,2018-11-09 01:32:00,Inbound,2018-11-08 00:00:00,8332560,FOLSOM-PACIFIC,SF,True,-122.420601,37.75066,8731,17592,1,Cesar Chavez St. & Valencia St.,2018-11-09 01:33:00,2018-11-09 01:33:00
